order_date,ord_cnt
2022-04-15,23309
2022-04-16,34876
2022-04-17,38278
2022-04-18,24281
2022-04-19,24949
2022-04-20,27119
2022-04-21,27533
2022-04-22,32034
2022-04-23,51943
2022-04-24,45025
2022-04-25,32332
2022-04-26,34890
2022-04-27,31744
2022-04-28,34527
2022-04-29,35989
2022-04-30,58796
2022-05-01,77749
2022-05-02,74165
2022-05-03,65791
2022-05-04,62153
2022-05-05,43038
2022-05-06,43235
2022-05-07,51946
2022-05-08,82889
2022-05-09,31417
2022-05-10,29861
2022-05-11,29224
2022-05-12,28485
2022-05-13,33245
2022-05-14,49937
2022-05-15,55065
2022-05-16,36827
2022-05-17,36683
2022-05-18,39458
2022-05-19,41022
2022-05-20,61594
2022-05-21,72667
2022-05-22,76558
2022-05-23,45141
2022-05-24,42640
2022-05-25,38903
