shop_id	shop_name	平台
140	钱宝网-卓诗尼官方旗舰店（代理）	其他
61	OE网络分销	其他
26	拍鞋网	其他
200	卓诗尼童鞋旗舰店供应商（网络分销）	其他
441	YZ-卓诗尼优选商城（总部电商）	YZ优选商城
428	YZ-卓诗尼优选商城（郑州）	YZ优选商城
434	YZ-卓诗尼优选商城（济南）	YZ优选商城
432	YZ-卓诗尼优选商城（广东）	YZ优选商城
521	YZ-卓诗尼优先商城（总部）	YZ优选商城
437	YZ-卓诗尼优先商城（长春）	YZ优选商城
523	YZ-卓诗尼优先商城（武汉）	YZ优选商城
435	YZ-卓诗尼优先商城（石市）	YZ优选商城
438	YZ-卓诗尼优先商城（沈阳）	YZ优选商城
436	YZ-卓诗尼优先商城（南昌）	YZ优选商城
440	YZ-卓诗尼优先商城（湖南）	YZ优选商城
439	YZ-卓诗尼优先商城（贵渝）	YZ优选商城
431	YZ-卓诗尼优先商城（福建）	YZ优选商城
430	YZ-卓诗尼优购商城-淘淘（帽子哥）	YZ优选商城
481	YZ-卓诗尼品牌商城-锐利	YZ优选商城
88	YZ-卓诗尼官方旗舰店	YZ优选商城
82	电商丢件店	其他
28	当当（代理）	其他
117	村淘-卓诗尼	其他
201	村淘-卓诗尼童鞋	其他
6	1号店-卓诗尼旗舰店	其他
186	OE-微商平台	其他
